Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006,19:05:00,3.404,0.082,233.080,14.600,0.000,2.000,16.000
16/12/2006,22:04:00,3.372,0.000,236.030,14.200,0.000,1.000,17.000
16/12/2006,22:08:00,3.358,0.000,236.140,14.200,0.000,0.000,17.000
16/12/2006,23:31:00,2.518,0.176,240.530,10.400,0.000,0.000,0.000
17/12/2006,01:04:00,4.582,0.258,238.080,19.600,0.000,13.000,0.000
17/12/2006,04:09:00,2.5,0.214,243.360,10.200,0.000,1.000,0.000
17/12/2006,07:46:00,2.4,0.084,242.240,9.800,0.000,0.000,0.000
17/12/2006,14:50:00,2.17,0.244,244.360,8.800,0.000,1.000,18.000
17/12/2006,16:24:00,4.864,0.000,235.590,20.600,37.000,0.000,17.000
17/12/2006,21:40:00,3.102,0.384,239.650,13.000,0.000,1.000,18.000
17/12/2006,22:03:00,2.688,0.310,239.280,11.200,0.000,1.000,17.000
18/12/2006,09:30:00,1.322,0.084,236.370,5.600,0.000,0.000,17.000
18/12/2006,10:06:00,1.348,0.090,238.760,5.600,0.000,0.000,18.000
18/12/2006,10:14:00,1.252,0.000,239.270,5.200,0.000,0.000,18.000
19/12/2006,02:59:00,0.264,0.000,244.990,1.200,0.000,0.000,0.000
19/12/2006,03:23:00,0.248,0.000,245.310,1.000,0.000,0.000,0.000
19/12/2006,20:13:00,3.366,0.000,241.380,13.800,0.000,37.000,0.000
19/12/2006,20:17:00,4.186,0.184,238.110,17.600,0.000,36.000,0.000
20/12/2006,05:33:00,0.204,0.000,244.700,0.800,0.000,0.000,0.000
20/12/2006,09:21:00,1.386,0.104,244.010,5.600,0.000,2.000,18.000
20/12/2006,14:40:00,1.306,0.000,243.060,5.400,0.000,0.000,18.000
20/12/2006,19:21:00,3.216,0.136,237.520,13.400,0.000,0.000,18.000
21/12/2006,01:46:00,1.484,0.214,244.660,6.000,0.000,0.000,18.000
21/12/2006,08:21:00,0.99,0.304,238.900,4.400,0.000,1.000,0.000
21/12/2006,10:53:00,0.242,0.000,241.610,1.000,0.000,0.000,0.000
21/12/2006,13:55:00,1.326,0.000,242.460,5.400,0.000,1.000,18.000
21/12/2006,22:07:00,0.296,0.112,240.720,1.200,0.000,0.000,0.000
21/12/2006,22:28:00,0.206,0.000,244.090,0.800,0.000,0.000,0.000
21/12/2006,23:03:00,0.36,0.226,244.880,1.600,0.000,2.000,0.000
22/12/2006,15:44:00,1.44,0.098,242.310,5.800,0.000,0.000,18.000
22/12/2006,21:12:00,2.85,0.000,238.620,12.000,1.000,0.000,18.000
23/12/2006,02:03:00,2.072,0.054,242.240,9.000,0.000,0.000,0.000
23/12/2006,18:50:00,4.86,0.060,237.260,20.400,0.000,0.000,17.000
23/12/2006,19:30:00,3.19,0.316,239.180,13.600,0.000,0.000,18.000
23/12/2006,22:15:00,2.866,0.104,236.500,12.600,0.000,0.000,0.000
23/12/2006,22:27:00,6.15,0.318,237.120,25.800,38.000,0.000,0.000
24/12/2006,01:15:00,5.768,0.000,235.010,24.400,38.000,0.000,16.000
24/12/2006,01:55:00,3.238,0.058,237.870,13.800,2.000,0.000,18.000
